Player	ID	Retired
Cristiano Ronaldo	dea698d9	False
Neymar	69384e5d	False
Andrés Iniesta	cfd65a29	False
Mesut Özil	16380240	False
Gerard Piqué	adfc9123	False
James Rodríguez	715bf047	False
Gareth Bale	a58bb1e1	False
Radamel Falcao	66116290	False
Wayne Rooney	f07be45a	False
Sergio Ramos	08511d65	False
Luis Suárez	a6154613	False
Sergio Agüero	4d034881	False
David De Gea	7ba6d84e	False
Marcelo	603116a7	False
Cesc Fàbregas	33508c78	False
Karim Benzema	70d74ece	False
Mohamed Salah	e342ad68	False
Javier Hernández	189cee7b	False
Dani Alves	c9e99e49	False
Juan Mata	29733c72	False
Toni Kroos	6ce1f46f	False
Paul Pogba	867239d3	False
Gonzalo Higuaín	8a08491a	False
Eden Hazard	a39bb753	False
Antoine Griezmann	df69b544	False
Zlatan Ibrahimovic	4cde5509	False
Raphaël Varane	9f8e9423	False
Isco	a0b4bb3e	False
Ezequiel Lavezzi	6d6456d7	False
Bastian Schweinsteiger	ccc22fea	False
Pedro	3ca7254a	False
Oscar	57fe98dd	False
Álvaro Morata	129af0db	False
Mario Götze	9efa1d25	False
Arturo Vidal	67cdbc0e	False
Thomas Müller	3c6089ab	False
Manuel Neuer	8778c910	False
Juan Cuadrado	0ab1f153	False
David Silva	e2716bd0	False
Mario Balotelli	8ff07990	False
Jack Wilshere	9c318325	False
Daniel Carvajal	4958bfb2	False
Fernando Torres	bdf7b97d	2019
David Luiz	c0e27d1a	False
David Villa	ade08a67	False
Javier Mascherano	5070881b
